11188.795560298651,0.0002912484705798724
13611.532541645927,0.00035290542319443244
16558.870624975534,0.00038829548860873744
24946.90105013062,0.00046837180793138844
30348.713910008213,0.00048191272206194266
44914.61342393198,0.0005070877479568576
54640.083369168184,0.0004969769520084096
66471.43285883988,0.00048599541763924087
80864.65308726931,0.0004670920680500924
98374.47212565705,0.000451884994778538
119675.73465699106,0.00042878200414911844
145589.4111166987,0.0004026611378371126
177114.23865547118,0.00037105700099709395
215465.2133963412,0.0003389836407135549
264073.7502499798,0.0003059328367333933
317932.39778268174,0.00026616038637748414
392894.30849972036,0.00023557882494138003
537002.3188931756,0.00018806146177439094
650377.0668215525,0.00015713733531704703
791204.7871170037,0.00013380411368368915
962526.2745136505,0.00011251576650455368
1170944.4182017094,0.0000946144132910205
1424491.8469478018,0.00007874903958457428
1732940.5140656414,0.00006532026135178538
2108178.317569643,0.00005399645448709209
2564667.2708018944,0.00004432302798064039
5526270.485496555,0.000019817378987040982
6613969.44785915,0.00001617234418623847
7998459.792195255,0.000013256722033273385
9759325.564777978,0.000010233068312613961
12085983.868871473,0.000007944972246057646
15789186.898220073,0.000005659550033323474
20262778.81772802,0.0000041395952274754285
24650327.354298126,0.000003232484277777983
30310247.907313965,0.0000025291699941687087
56955148.81856368,0.0000010300606110059301
69287785.03282185,7.799324026003765e-7
83543200.1208465,5.971090771921288e-7
99838093.02200253,4.559961230499106e-7
119311264.15856329,3.48668925628714e-7
142582628.77654555,2.666031870752898e-7
170393015.04518637,2.0257896511677374e-7
203627747.8211643,1.5315983648093535e-7
241186430.19062638,1.1740489921883279e-7
285672727.46731025,8.932228980601943e-8
338364422.7169453,6.808958020509959e-8
400265218.65517205,5.1961965337497026e-8
474697031.96022403,3.924891471207328e-8
569310757.1537353,2.9039127632709687e-8
668933535.5645624,2.2357902038904692e-8
751075039.9512967,1.8350756313183995e-8
20846.581721937775,0.0004317378513158359
37090.12238087322,0.0004975713271402436
461302.3866356684,0.00020808414661281304
3044159.344786244,0.00003713738506683409
3724307.884153147,0.00003032222082993328
4556420.228041417,0.00002475772255921034
36260021.79210534,0.0000019243175006740395
46320475.782842174,0.0000013632992474216622
862296923.1666114,1.4238332137256792e-8
1070263258.5254182,1.0087268592871307e-8
1309389371.707,7.002982141902914e-9
1672683459.2159576,4.7641718797520834e-9
2106217067.9304428,3.112302209180405e-9
2576803624.050133,2.250097089301344e-9
3063009520.8367834,1.6267497726757186e-9
3747369705.6057386,1.1524848368605239e-9
